,phrase,sentiment_values
0,"The Rock is destined to be the 21st Century's new `` Conan '' and that he's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",3
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth .,4
2,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",3
3,You'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,2
4,Yet the act is still charming here .,3
5,"Whether or not you're enlightened by any of Derrida's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",4
6,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,4
7,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,3
8,a screenplay more ingeniously constructed than `` Memento '',4
9,`` Extreme Ops '' exceeds expectations .,3
10,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",4
11,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,2
12,Dramas like this make it human .,4
13,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",2
14,"Still , this flick is fun , and host to some truly excellent sequences .",4
15,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,3
16,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,3
17,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,2
18,"If you love reading and\/or poetry , then by all means check it out .",3
19,You'll probably love it .,4
20,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",3
21,near the end takes on a whole other meaning .,2
22,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback's Heidegger - and Nietzsche-referencing dialogue .",4
23,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,2
24,"` Tadpole ' was one of the films so declared this year , but it's really more of The Next Pretty Good Thing .",2
25,The actors are fantastic .,4
26,They are what makes it worth the trip to the theatre .,3
27,This isn't a new idea .,1
28,It's been done before but never so vividly or with so much passion .,4
29,"It's not life-affirming -- its vulgar and mean , but I liked it .",2
30,What `` Empire '' lacks in depth it makes up for with its heart .,3
31,"Light , silly , photographed with colour and depth , and rather a good time .",4
32,But tongue-in-cheek preposterousness has always been part of For the most part Wilde's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker's creative interference ...,3
33,Much of the movie's charm lies in the utter cuteness of Stuart and Margolo .,3
34,Their computer-animated faces are very expressive .,3
35,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie's release .",2
36,"Much of it comes from the brave , uninhibited performances by its lead actors .",4
37,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",2
38,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,3
39,"If Mr. Zhang's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",2
40,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's ... The film's ending has a `` What was it all for ? '',0
41,"feeling to it , but like the 1920's , the trip there is a great deal of fun .",3
42,No. .,1
43,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',3
44,It's a lovely film with lovely performances by Buy and Accorsi .,3
45,"No one goes unindicted here , which is probably for the best .",2
46,"And if you're not nearly moved to tears by a couple of scenes , you've got ice water in your veins .",3
47,"A warm , funny , engaging film .",4
48,"Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",4
49,"Half Submarine flick , Half Ghost Story , All in one criminally neglected film",2
50,"Entertains by providing good , lively company .",3
51,"Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",4
52,"Nothing's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .",3
53,"Unlike the speedy wham-bam effect of most Hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of Italian for Beginners .",4
54,"You'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",3
55,"Although German cooking does not come readily to mind when considering the world's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .",3
56,A beguiling splash of pastel colors and prankish comedy from Disney .,4
57,"As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",4
58,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .,2
59,"What's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .",3
60,"Whether you like rap music or loathe it , you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .",3
61,"... an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young Gaghan's resume .",3
62,"It provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",4
63,"There's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",3
64,"It moves quickly , adroitly , and without fuss ; it doesn't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise .",3
65,A deep and meaningful film .,4
66,The film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,4
67,It's a remarkably solid and subtly satirical tour de force .,4
68,Enormously entertaining for moviegoers of any age .,4
69,"A poignant , artfully crafted meditation on mortality .",4
70,A rarity among recent Iranian films : It's a comedy full of gentle humor that chides the absurdity of its protagonist's plight .,4
71,"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it's also one of the smarter , savvier spoofs to come along in some time .",4
72,"In a way , the film feels like a breath of fresh air , but only to those that allow it in .",4
73,"Woody Allen's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .",3
74,It's a stunning lyrical work of considerable force and truth .,3
75,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .",2
76,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,1
77,"But believe it or not , it's one of the most beautiful , evocative works I've seen .",4
78,"A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court's extradition chess game and the regime's talking-head survivors .",4
79,"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",4
80,Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,0
